d6-8,d9-11,d12-14,d15-17,d18-20,d21-23,d24-26,d27-29,d36-38,d30-32,d33-35,d39-41
27.2,12.9,3.7,2.7,1.8,2.2,1,3.4,2.3,0.5,1.8,1.3
36.3,9.9,3.7,2.7,2.2,1.3,1.9,2.2,1.9,2.4,1.1,1.2
24.7,11.9,2,3.3,0.8,4.5,2.1,1.6,1.3,0.8,0.7,1.2
19,11.6,3.2,2.2,4.1,1.3,2.5,2.2,1,1.2,1.1,1
18.8,9,3,3.3,1.5,4.7,2.4,4.5,1.7,1,0.6,0.9
19.6,12.7,2.7,2.9,2.2,2.2,1.2,4.2,1.7,0.9,0.4,0.5
19.5,9.2,2.9,3,1.8,3.4,2.8,3.1,0.3,0.9,1.1,0.5
18.5,16.3,8.7,2.9,2.2,,2.7,,1.5,0.7,0.7,0.7
18.7,16.4,4.6,,2.9,,,,,0.5,1,0.7
21.1,19.8,4.9,,5,,,,,0.4,0.5,1
14.9,16.2,4.1,,2.3,,,,,0.5,,
22.4,,2.9,,1.6,,,,,1.3,,
9.9,,3.1,,4.7,,,,,1.7,,
32.6,,,,,,,,,0.9,,
27.3,,,,,,,,,2.3,,
33.3,,,,,,,,,1.3,,
34.1,,,,,,,,,2.2,,
21.9,,,,,,,,,0.9,,
28.3,,,,,,,,,,,
25.8,,,,,,,,,,,
22.3,,,,,,,,,,,
29.5,,,,,,,,,,,
